	SubjectID1	SubjectID2	Group1	Group2	Distance
9	ZCAh5	ZCAh4	ZCAh	ZCAh	0.29802702702702705
10	ZCAh1	Con1	ZCAh	Con	0.6357837837837838
11	ZCAh1	Con2	ZCAh	Con	0.6704054054054054
12	ZCAh1	Con3	ZCAh	Con	0.581027027027027
13	ZCAh1	Con4	ZCAh	Con	0.5882162162162162
14	ZCAh1	Con5	ZCAh	Con	0.6433513513513514
15	ZCAh2	Con1	ZCAh	Con	0.6495135135135135
16	ZCAh2	Con2	ZCAh	Con	0.6319189189189189
17	ZCAh2	Con3	ZCAh	Con	0.6243783783783784
18	ZCAh2	Con4	ZCAh	Con	0.5965135135135136
19	ZCAh2	Con5	ZCAh	Con	0.6255405405405405
20	ZCAh3	Con1	ZCAh	Con	0.6355405405405405
21	ZCAh3	Con2	ZCAh	Con	0.6480810810810811
22	ZCAh3	Con3	ZCAh	Con	0.6035675675675676
23	ZCAh3	Con4	ZCAh	Con	0.5613513513513514
24	ZCAh3	Con5	ZCAh	Con	0.6145675675675676
25	ZCAh4	Con1	ZCAh	Con	0.6585135135135135
26	ZCAh4	Con2	ZCAh	Con	0.6755675675675675
27	ZCAh4	Con3	ZCAh	Con	0.6165675675675676
28	ZCAh4	Con4	ZCAh	Con	0.6136486486486487
29	ZCAh4	Con5	ZCAh	Con	0.6572972972972972
30	ZCAh5	Con1	ZCAh	Con	0.6924324324324325
31	ZCAh5	Con2	ZCAh	Con	0.702
32	ZCAh5	Con3	ZCAh	Con	0.6643243243243243
33	ZCAh5	Con4	ZCAh	Con	0.6468648648648648
34	ZCAh5	Con5	ZCAh	Con	0.6679459459459459
35	ZCAh1	DSS1	ZCAh	DSS	0.37932432432432434
36	ZCAh1	DSS2	ZCAh	DSS	0.38791891891891894
37	ZCAh1	DSS3	ZCAh	DSS	0.4259189189189189
38	ZCAh1	DSS4	ZCAh	DSS	0.4141081081081081
39	ZCAh1	DSS5	ZCAh	DSS	0.5482162162162162
40	ZCAh2	DSS1	ZCAh	DSS	0.3695945945945946
41	ZCAh2	DSS2	ZCAh	DSS	0.34364864864864864
42	ZCAh2	DSS3	ZCAh	DSS	0.4247297297297297
43	ZCAh2	DSS4	ZCAh	DSS	0.3516756756756757
44	ZCAh2	DSS5	ZCAh	DSS	0.4497837837837838
45	ZCAh3	DSS1	ZCAh	DSS	0.40583783783783783
46	ZCAh3	DSS2	ZCAh	DSS	0.3906756756756757
47	ZCAh3	DSS3	ZCAh	DSS	0.4304054054054054
48	ZCAh3	DSS4	ZCAh	DSS	0.4243243243243243
49	ZCAh3	DSS5	ZCAh	DSS	0.48262162162162164
50	ZCAh4	DSS1	ZCAh	DSS	0.35643243243243244
51	ZCAh4	DSS2	ZCAh	DSS	0.34945945945945944
52	ZCAh4	DSS3	ZCAh	DSS	0.37432432432432433
53	ZCAh4	DSS4	ZCAh	DSS	0.4377837837837838
54	ZCAh4	DSS5	ZCAh	DSS	0.5193513513513514
55	ZCAh5	DSS1	ZCAh	DSS	0.3924864864864865
56	ZCAh5	DSS2	ZCAh	DSS	0.42064864864864865
57	ZCAh5	DSS3	ZCAh	DSS	0.47435135135135137
58	ZCAh5	DSS4	ZCAh	DSS	0.42502702702702705
59	ZCAh5	DSS5	ZCAh	DSS	0.43575675675675674
60	ZCAh1	ZCAm1	ZCAh	ZCAm	0.39494594594594595
61	ZCAh1	ZCAm2	ZCAh	ZCAm	0.2894054054054054
62	ZCAh1	ZCAm3	ZCAh	ZCAm	0.33635135135135136
63	ZCAh1	ZCAm4	ZCAh	ZCAm	0.2931891891891892
64	ZCAh1	ZCAm5	ZCAh	ZCAm	0.31332432432432433
65	ZCAh2	ZCAm1	ZCAh	ZCAm	0.35462162162162164
66	ZCAh2	ZCAm2	ZCAh	ZCAm	0.312
67	ZCAh2	ZCAm3	ZCAh	ZCAm	0.2858918918918919
68	ZCAh2	ZCAm4	ZCAh	ZCAm	0.26637837837837836
69	ZCAh2	ZCAm5	ZCAh	ZCAm	0.2728378378378378
70	ZCAh3	ZCAm1	ZCAh	ZCAm	0.3912432432432432
71	ZCAh3	ZCAm2	ZCAh	ZCAm	0.31091891891891893
72	ZCAh3	ZCAm3	ZCAh	ZCAm	0.3151891891891892
73	ZCAh3	ZCAm4	ZCAh	ZCAm	0.27818918918918917
74	ZCAh3	ZCAm5	ZCAh	ZCAm	0.35183783783783784
75	ZCAh4	ZCAm1	ZCAh	ZCAm	0.4209459459459459
76	ZCAh4	ZCAm2	ZCAh	ZCAm	0.2725945945945946
77	ZCAh4	ZCAm3	ZCAh	ZCAm	0.3348108108108108
78	ZCAh4	ZCAm4	ZCAh	ZCAm	0.2734864864864865
79	ZCAh4	ZCAm5	ZCAh	ZCAm	0.2800810810810811
80	ZCAh5	ZCAm1	ZCAh	ZCAm	0.47102702702702703
81	ZCAh5	ZCAm2	ZCAh	ZCAm	0.37024324324324326
82	ZCAh5	ZCAm3	ZCAh	ZCAm	0.34537837837837837
83	ZCAh5	ZCAm4	ZCAh	ZCAm	0.3493243243243243
84	ZCAh5	ZCAm5	ZCAh	ZCAm	0.27297297297297296
85	ZCAh1	ZnCA1	ZCAh	ZnCA	0.31824324324324327
86	ZCAh1	ZnCA2	ZCAh	ZnCA	0.31448648648648647
87	ZCAh1	ZnCA3	ZCAh	ZnCA	0.2923513513513514
88	ZCAh1	ZnCA4	ZCAh	ZnCA	0.28986486486486485
89	ZCAh1	ZnCA5	ZCAh	ZnCA	0.2574054054054054
90	ZCAh2	ZnCA1	ZCAh	ZnCA	0.2600810810810811
91	ZCAh2	ZnCA2	ZCAh	ZnCA	0.2622702702702703
92	ZCAh2	ZnCA3	ZCAh	ZnCA	0.2927567567567568
93	ZCAh2	ZnCA4	ZCAh	ZnCA	0.24916216216216217
94	ZCAh2	ZnCA5	ZCAh	ZnCA	0.21305405405405406
95	ZCAh3	ZnCA1	ZCAh	ZnCA	0.3142162162162162
96	ZCAh3	ZnCA2	ZCAh	ZnCA	0.30986486486486486
97	ZCAh3	ZnCA3	ZCAh	ZnCA	0.34654054054054056
98	ZCAh3	ZnCA4	ZCAh	ZnCA	0.25145945945945947
99	ZCAh3	ZnCA5	ZCAh	ZnCA	0.2656486486486486
100	ZCAh4	ZnCA1	ZCAh	ZnCA	0.2720810810810811
101	ZCAh4	ZnCA2	ZCAh	ZnCA	0.23672972972972972
102	ZCAh4	ZnCA3	ZCAh	ZnCA	0.32154054054054054
103	ZCAh4	ZnCA4	ZCAh	ZnCA	0.2262972972972973
104	ZCAh4	ZnCA5	ZCAh	ZnCA	0.20997297297297296
105	ZCAh5	ZnCA1	ZCAh	ZnCA	0.20218918918918918
106	ZCAh5	ZnCA2	ZCAh	ZnCA	0.30745945945945946
107	ZCAh5	ZnCA3	ZCAh	ZnCA	0.34313513513513516
108	ZCAh5	ZnCA4	ZCAh	ZnCA	0.31308108108108107
109	ZCAh5	ZnCA5	ZCAh	ZnCA	0.2184054054054054
0	ZCAm2	ZCAm1	ZCAm	ZCAm	0.3435135135135135
1	ZCAm3	ZCAm1	ZCAm	ZCAm	0.358
2	ZCAm3	ZCAm2	ZCAm	ZCAm	0.32456756756756755
3	ZCAm4	ZCAm1	ZCAm	ZCAm	0.3983243243243243
4	ZCAm4	ZCAm2	ZCAm	ZCAm	0.23943243243243242
5	ZCAm4	ZCAm3	ZCAm	ZCAm	0.2941081081081081
6	ZCAm5	ZCAm1	ZCAm	ZCAm	0.4872972972972973
7	ZCAm5	ZCAm2	ZCAm	ZCAm	0.35664864864864865
8	ZCAm5	ZCAm3	ZCAm	ZCAm	0.34124324324324323
