geneID	Control_1	Control_2	Control_3	DSS_1	DSS_2	DSS_3	ZnCA_1	ZnCA_2	ZnCA_3
ENSMUSG00000031543	14.29	14.65	13.94	5.73	14.77	10.55	4.36	5.27	7.83
ENSMUSG00000037095	5.41	5.13	4.95	210.06	353.76	293.19	112.16	33.37	23.58
ENSMUSG00000035929	71.6	43.58	48.74	144.28	137.63	219.69	181.24	125.18	118.08
ENSMUSG00000135543	2.29	13.95	6.99	0.39	1.71	1.38	2.75	0.71	6.16
ENSMUSG00000031445	0.51	0.69	0.53	2.09	1.47	0.96	1.29	0.85	0.99
ENSMUSG00000059013	4.82	3.48	4.9	9.71	10.53	7.56	5.87	4.44	3.41
ENSMUSG00000031075	202.61	163.44	206.48	49.06	142.35	40.99	36.52	27.48	66.05
ENSMUSG00000039911	9.97	13.2	9.35	20.93	36.13	21.95	8.74	9.71	7.64
ENSMUSG00000015314	0.45	0.89	1.75	4.45	2.68	3.67	1.91	1.57	2.13
ENSMUSG00000010142	5.47	3.86	3.86	11.99	8.23	10.03	6.43	5.65	5.89
ENSMUSG00000020262	5.68	3.33	3.76	8.16	12.36	7.09	3.16	1.24	4.74
ENSMUSG00000045657	0.29	0.16	0.37	0.92	0.62	0.59	0.48	0.52	0.36
ENSMUSG00000137838	84.34	90.16	89.65	19.96	2.73	1.69	19.91	25.41	9.61
ENSMUSG00000036446	32.42	45.85	54.46	178.6	66.73	68.76	90.39	188.69	58.87
ENSMUSG00000034584	9.39	8.93	9.76	4.33	6.69	2.28	3.65	3.09	5.75
ENSMUSG00000022842	1.9	0.77	0.79	3.27	2.2	1.43	1.5	1.12	1.83
ENSMUSG00000043644	11.4	8.01	11.51	4.57	6.89	5.43	4.05	7.42	6.07
ENSMUSG00000043003	66.59	63.4	49.29	19.54	31.28	21.96	23.62	15.28	60.74
ENSMUSG00000002289	10.51	9.12	4.7	64	30.32	30.49	19.46	32.95	14.38
ENSMUSG00000037849	0.56	0.32	0.37	1.99	1.12	5.28	2.97	1.89	1.26
ENSMUSG00000141887	2.13	0.76	2.14	1.68	3.31	1.68	0.16	0.34	0.47
ENSMUSG00000019312	57.1	58.13	82.68	26.27	51.17	17.04	23.26	38.7	30.74
ENSMUSG00000028583	19	19.49	15.47	73.6	37.55	34.2	36.74	43.24	32.79
ENSMUSG00000036123	13.13	6.2	3.59	4.55	25.44	19.16	21.25	29.7	23.53
